Número de catálogo,Autor,Título,Fecha,Técnica,Soporte,Dimensión,Serie,Procedencia,UrlImagen
P003107,"Serra, Jaume",Episodios de las vidas de la Magdalena y de san Juan Bautista,1356 - 1359,Temple,Tabla,Alto:280cm.;Ancho:92cm.,None,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/baa1/baa1b639-a138-4c41-8b80-f90e54673cbc/294cdafc-6e5b-4bc2-9a6a-c772573ba6aa_832.jpg
P002535,Maestro de Estamariú,Retablo de la leyenda de Santa Lucía,1357 - 1385,Temple,Tabla,Alto:161cm.;Ancho:97cm.,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida; adquisición a Apolinar Sánchez Villaba, 1931.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/03/03a0/03a0a1eb-9da9-4445-8639-1fba3bc8f4d8/b9b320e7-226e-4926-9f4d-b66fa340fb40_832.jpg
P002536,Maestro de Estamariú,Retablo de la leyenda de Santa Lucía,1357 - 1385,Temple,Tabla,Alto:161cm.;Ancho:97cm.,"Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lleida","Iglesia de Santa Lucía de Arcavell, Alt Urgell, Lérida; adquisición a Apolinar Sánchez Villalba, 1931.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/fd/fd45/fd45c125-4c87-49e2-b769-2c506f5d2af4/2135c7e0-994f-477f-a3a0-e8a7dd21dcdb_832.jpg
P003106,"Serra, Jaume",Episodios de las vidas de la Magdalena y de san Juan Bautista,1359 - 1362,Temple,Tabla,Alto:280cm.;Ancho:92cm.,None,Santuario de Nuestra Señora de Tobed (Zaragoza); adquirida para el Museo del Prado a José Bardolet en 1965.,https://content3.cdnprado.net/imagenes/Documentos/imgsem/98/98b8/98b8d997-5a43-49a7-92aa-e6e8409c5616/474007ef-6956-48c9-bbfc-4a0c51a5d7d2_832.jpg
P008117,"Serra, Jaume","Virgen de Tobed con los donantes Enrique II de Castilla, su mujer, Juana Manuel, y dos de sus hijos, Juan y Juana(?)",1359 - 1362,Temple,Tabla,"Alto:161,4cm.;Ancho:117,8cm.",None,"Iglesia de Santa María de Tobed, hasta final siglo XIX; colección de Román Vicente, Zaragoza, 1908; Fernando Birk Crecelius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/3977/3977d582-961a-4fb9-8a4f-ea7d0573882b/8d349af6-1705-48b4-81eb-eced83dd959d_832.jpg
P002841,Maestro de la Madonna della Misericordia,San Eloy en el taller de orfebrería,Hacia  1370,Dorado;Témpera,Tabla,Alto:35cm.;Ancho:39cm.,None,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Colección Joseph Spiridon, Paris, ¿1988?-1929; Colección Toscanelli, Pontedera, 1883.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a9/a90f/a90f2403-fb27-420b-ae9d-5bd95850b780/5eca70f6-7a4b-44de-9c41-5bef5a3d7816_832.jpg
P002842,Maestro de la Madonna della Misericordia,San Eloy ante el rey Clotario,Hacia  1370,Dorado;Témpera,Tabla,Alto:35cm.;Ancho:39cm.,None,"Donación Francisco de Asís Cambó Batlle, 1941; Colección Francisco de Asís Cambó, Barcelona, 1929-1941; Col. Joseph Spiridon, Paris,¿1988?-1929; Col. Toscanelli, Pontedera, 1883.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bc/bce6/bce6689e-909a-432a-bf7a-7fac50ea36b1/93940012-4f31-4d6d-ac04-0513bd106e19_832.jpg
P002675,"Borrassà, Luis(Discípulo de)",Crucifixión,1375 - 1400,Temple,Tabla,Alto:48cm.;Ancho:35cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a8/a89e/a89e245d-1ba0-4a4e-bc45-deebc73fbb9f/69c78b39-3dcf-4fd5-849a-6f6e02f0acee_832.jpg
P008120,Anónimo,Artesonado,Hacia  1400,Policromado;Tallado,None,Alto:1142cm.;Ancho:605cm.,None,"Artur Ramón, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a5/a53a/a53ae65a-fe9b-4370-bcb4-4d27edf79736/091be41c-ae92-400d-8f15-0ac572a50927_832.jpg
P008116,"Borrassà, Luis",San Andrés negándose a adorar al ídolo,1400 - 1405,Temple,Tabla de madera de álamo,"Alto:128,2cm.;Ancho:84,3cm.",None,"Catedral de Barcelona, 1936; Rómulo Bosch Catarineu; colección Várez Fisa, 2012; adquirido por el Estado por dación como pago de impuestos, 2012.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/39ec/39ec035f-ec21-4f35-9b77-47cdff502e89/6f52244d-9c0f-4c6c-8fca-459faeb72bd8_832.jpg
P002684,Maestro de San Nicolás,"San Agustín, de pontifical",1401 - 1425,Técnica mixta,Tabla,Alto:127cm.;Ancho:53cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b4/b41c/b41c8360-1b69-4573-85b5-81643840bf9d/f873799d-2185-4d0d-9f3e-668e264320d6_832.jpg
P001327,"Sevilla, Juan de",San Lucas,1401 - 1435,Temple,Tabla,Alto:95cm.;Ancho:55cm.,None,"Adquirida por el Patronato del Tesoro Artístico, 1928",https://content3.cdnprado.net/imagenes/Documentos/imgsem/61/61b5/61b5e23c-0768-4177-99a2-e98f81bd4836/c5ff92ca-6692-47d7-9d12-68bc51b69f26_832.jpg
P001337,Anónimo,"San Bartolomé, San Pablo y San Andrés",Siglo XV,Óleo,Tabla,Alto:48cm.;Ancho:73cm.,None,"Legado Mariano Lanuza y Fernández, 1940",https://content3.cdnprado.net/imagenes/Documentos/imgsem/11/11a9/11a9dae6-3f95-4a92-9393-9ccc6b293581/23712e54-f55c-4f1c-8224-45449914e39b_832.jpg
P002667,Anónimo,Proyecto de altar,Siglo XV,Óleo,Lienzo,Alto:105cm.;Ancho:102cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/bd/bd18/bd186574-8993-48c4-97c5-db5c3ed3fd7f/7236e2a9-1784-43ba-bcb1-afbcb7635e8a_832.jpg
P002680,"Espalargues, Pere",La Crucifixión,Siglo XV,Temple,Tabla,Alto:88cm.;Ancho:63cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/3909/39094a73-9e6d-419d-b2a6-7716a0b3e9e0/a442acc2-388f-47a8-b2b3-3d8b4869ee9b_832.jpg
P002679,Anónimo,Crucifixión,Siglo XV,Óleo,Tabla,"Alto:25,5cm.;Ancho:17,5cm.",None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b6/b6d8/b6d81f38-50ae-4096-bbfd-e46bd3c720f0/0ae1246f-1095-44b0-87ef-cd6476c71e5a_832.jpg
P002714,Anónimo,La Visitación,Siglo XV,Temple,Tabla pasada a lienzo,Alto:60cm.;Ancho:43cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/69/692f/692f8ff4-e23d-457e-a4c8-da2ab4f6a773/08cc88d5-d04a-4c59-865f-b07b80c79e9b_832.jpg
P003144,"Anónimo(Copia deCampin, Robert)",La Virgen de la Leche,Siglo XV,Óleo,Tabla,Alto:18cm.;Ancho:13cm.,None,"Donación Mª Ángeles Sáinz de la Cuesta, condesa viuda de los Moriles, 1969",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f2/f27f/f27f30f5-541f-42af-b92e-01d0de395436/da132bdc-283d-4b5b-ac7a-0dac1f9dad15_832.jpg
P007157,"Francés, Nicolás",Cristo ante Pilatos,Siglo XV,Temple,Tabla pasada a lienzo,Alto:186cm.;Ancho:175cm.,None,"Iglesia de Yebes, Guadalajara; Museo Arqueológico Nacional; Museo del Prado, 1943",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d2/d28c/d28cde19-ad29-4aea-b7b8-153479b8efc2/0d5da3dc-c43c-4714-9bd2-4df423adb970_832.jpg
P002054,El Bosco(Copia),Fantasía moral (Visio tondali),Siglo XV,Óleo,Tabla,Alto:29cm.;Ancho:24cm.,None,"Colección Real (colección Felipe V, Quinta del duque del Arco, El Pardo-Madrid, 1745, [nº 149]; Quinta del duque del Arco, 1794, nº 151)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed19/ed19fa42-83e3-443b-96b1-04261634bb14/0561a40c-cca1-4357-a01f-b62801f1183a_832.jpg
P006718,Anónimo,"Isabel de Borbón, duquesa de Borgoña",Siglo XV,Óleo,Lienzo sobre tabla,Alto:58cm.;Ancho:46cm.,None,"Donación Hilly Mendelssohn, 1982",https://content3.cdnprado.net/imagenes/Documentos/imgsem/65/651b/651b51e1-2900-495e-bb8f-76851b44c223/97d59759-a419-4a48-bec3-365f0a5ce4e1_832.jpg
P006719,Anónimo,"Margarita Luisa, condesa de Flandes",Siglo XV,Óleo,Lienzo sobre tabla,Alto:58cm.;Ancho:46cm.,None,"Donación Hilly Mendelssohn, 1982",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f8/f862/f862e516-7fee-4994-b00b-6f87e122256c/c8b6add1-68b6-4685-9e78-9a65da50b5e4_832.jpg
P006720,Anónimo,"Carlos el Audaz, duque de Borgoña",Siglo XV,Óleo,Lienzo sobre tabla,Alto:58cm.;Ancho:46cm.,None,"Donación Hilly Mendelssohn, 1982",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b978/b9781d82-277a-4c72-bc8e-912448dfce03/f862c0ae-9f3f-48b3-8628-b8628f752485_832.jpg
P006721,Anónimo,"Margarita Laura Alber, condesa de Holanda",Siglo XV,Óleo,Lienzo sobre tabla,Alto:54cm.;Ancho:40cm.,None,"Donación Hilly Mendelssohn, 1982",https://content3.cdnprado.net/imagenes/Documentos/imgsem/88/8881/88815c40-8010-4b51-85c7-4796a41db3a6/43f4dec8-d14d-413d-82a1-b74051a65a58_832.jpg
P002051,El Bosco(Copia),Las tentaciones de San Antonio Abad,Siglos XV - XVI,Óleo,Tabla de madera de roble,Alto:90cm.;Ancho:37cm.,None,"Colección Real (Real Monasterio de San Lorenzo, El Escorial, Madrid, Capilla del Noviciado, 1839)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c8/c8f1/c8f147bd-a03f-42fa-a569-0f110a54d4ca/4413f598-9367-434a-a26c-277aced2f256_832.jpg
